run_id,producers,consumers,capacity,duration_seconds,effective_ops_per_sec,cycles,instructions,ipc,branches,branch_misses,branch_miss_rate,cache_references,cache_misses,cache_miss_rate,elapsed_seconds
20260412_130303,6,7,32768,1,8661171.50,17348929295,8103695917,0.4671,1236551442,10609475,0.008580,167399885,43445654,0.259532,1.010045
20260412_130307,6,8,32768,1,8606786.51,14502439134,6941678676,0.4787,1037440339,7493302,0.007223,138241319,31632277,0.228819,1.007486
20260412_130311,6,9,32768,1,8627595.79,14145401082,7822943630,0.5530,1185150167,9520725,0.008033,150016162,40127886,0.267490,1.009225
20260412_130314,6,10,32768,1,7298522.55,16140656283,7936983980,0.4917,1188548575,9511771,0.008003,157556593,41089208,0.260790,1.007643
20260412_130318,6,11,32768,1,8501019.14,15850052947,7131986915,0.4500,1074634590,8345856,0.007766,141198022,34318676,0.243054,1.006665
20260412_130322,6,12,32768,1,7851342.70,12528575451,6419489585,0.5124,963582824,6742942,0.006998,123175258,28826682,0.234030,1.007472
20260412_130325,7,1,32768,1,7528962.31,14398743492,7110858629,0.4939,1081814560,9445202,0.008731,130509421,32740948,0.250870,1.005263
20260412_130329,7,2,32768,1,7624867.71,16343994834,7210353718,0.4412,1091896068,9820018,0.008994,141184622,35656223,0.252550,1.006942
20260412_130333,7,3,32768,1,7866839.33,14458878375,6833343425,0.4726,1039945876,8773068,0.008436,129974107,31879460,0.245275,1.005249
20260412_130336,7,4,32768,1,7660842.83,15486100369,7237836425,0.4674,1112402314,9292932,0.008354,140756127,35595406,0.252887,1.007705
20260412_130340,7,5,32768,1,7956558.14,14675132563,7356241971,0.5013,1116176892,8141476,0.007294,135996574,32189527,0.236694,1.006104
20260412_130343,7,6,32768,1,8421597.48,14715487172,6914570350,0.4699,1051196574,8751659,0.008325,134540853,32935118,0.244796,1.008539
20260412_130347,7,7,32768,1,5994247.24,16141665674,7091687121,0.4393,1078406688,9003729,0.008349,144969008,35446319,0.244510,1.003751
20260412_130351,7,8,32768,1,8649202.63,15826430722,7612528994,0.4810,1154426295,8864454,0.007679,151161046,36091680,0.238763,1.006634
20260412_130354,7,9,32768,1,8081593.25,12795563211,6607544562,0.5164,999812752,6767783,0.006769,117643260,27849995,0.236733,1.008722
20260412_130358,7,10,32768,1,8126884.08,16571808072,7655252316,0.4619,1144882317,9296004,0.008120,155205090,38541395,0.248326,1.006981
20260412_130402,7,11,32768,1,8492379.29,15269375298,6801310300,0.4454,1022420585,8098957,0.007921,139034195,33979918,0.244400,1.005549
20260412_130405,7,12,32768,1,7803320.24,15339914499,6741343501,0.4395,1021353821,8476204,0.008299,141762435,33817106,0.238548,1.007243
20260412_130409,8,1,32768,1,7333662.27,13639664500,7095664734,0.5202,1061042946,8049303,0.007586,125942334,30724957,0.243961,1.007878
20260412_130412,8,2,32768,1,7277976.52,16012577023,7456273251,0.4657,1128832113,10525335,0.009324,143481708,36344697,0.253305,1.006534
20260412_130416,8,3,32768,1,7900416.65,14716284057,7031190386,0.4778,1062215533,9091461,0.008559,135203003,32300480,0.238904,1.006242
20260412_130420,8,4,32768,1,7864722.82,14933458110,6945592730,0.4651,1042511227,9137598,0.008765,134689404,33791349,0.250883,1.007295
20260412_130423,8,5,32768,1,8114347.95,11766973079,6075241182,0.5163,917027384,7107678,0.007751,111611929,27389860,0.245403,1.015873
20260412_130427,8,6,32768,1,7663187.63,16652264160,7755573192,0.4657,1184701627,10020118,0.008458,159813418,39846880,0.249334,1.005357
20260412_130431,8,7,32768,1,7924775.87,17449646910,7321781010,0.4196,1116955280,9489860,0.008496,154601754,37887232,0.245063,1.012563
20260412_130434,8,8,32768,1,8239187.45,12368479045,6072174444,0.4909,920787469,6736308,0.007316,120277915,26809330,0.222895,1.006116
20260412_130438,8,9,32768,1,7905704.19,15722398918,6781731393,0.4313,1024071095,7832912,0.007649,141775646,33473123,0.236099,1.007586
20260412_130442,8,10,32768,1,7698739.24,14538613442,7041594583,0.4843,1071216734,8153437,0.007611,138636025,33885187,0.244418,1.009820
20260412_130445,8,11,32768,1,7373656.13,14313534123,7242770047,0.5060,1084820934,8247479,0.007603,143394294,35500060,0.247570,1.005485
20260412_130449,8,12,32768,1,7769659.03,13160242184,6540877635,0.4970,983600265,7553898,0.007680,129983215,31488035,0.242247,1.034975
20260412_130453,9,1,32768,1,7704005.31,16297036782,7016228804,0.4305,1082151183,9921951,0.009169,137345358,35257775,0.256709,1.007550
20260412_130456,9,2,32768,1,5899496.73,16124941599,6977749625,0.4327,1048239801,9754981,0.009306,137444711,35085105,0.255267,1.011576
20260412_130500,9,3,32768,1,7335085.26,14240861657,6278183577,0.4409,954502097,7937854,0.008316,126887360,29967638,0.236175,1.006988
20260412_130504,9,4,32768,1,7528541.87,13102279936,6286417466,0.4798,954665292,7516590,0.007874,118858383,28913029,0.243256,1.010866
20260412_130507,9,5,32768,1,7706695.39,13524068391,7533519639,0.5570,1139890838,8292034,0.007274,134160939,32921383,0.245387,1.010227
20260412_130511,9,6,32768,1,7750697.27,12612604551,7010552372,0.5558,1056470930,8223103,0.007784,136091069,34276768,0.251866,1.011250
20260412_130514,9,7,32768,1,7595693.05,15472930336,7242920739,0.4681,1100616313,9073622,0.008244,144047044,36305001,0.252036,1.008639
20260412_130518,9,8,32768,1,7515223.82,14748344824,7131719207,0.4836,1075195322,8551002,0.007953,139649503,35082219,0.251216,1.008597
20260412_130522,9,9,32768,1,7717269.20,14836212598,7162713272,0.4828,1096328586,8495477,0.007749,140043578,35453666,0.253162,1.007674
20260412_130526,9,10,32768,1,5548386.66,13274290256,6349388222,0.4783,964659548,7668413,0.007949,123406803,30424001,0.246534,1.009012
20260412_130529,9,11,32768,1,7193057.23,13607152369,6503730260,0.4780,982607431,8195463,0.008341,126532757,31327460,0.247584,1.009712
20260412_130533,9,12,32768,1,7707407.10,14951201556,6964069781,0.4658,1062532316,8539169,0.008037,140106988,35333017,0.252186,1.007052
20260412_130537,10,1,32768,1,7091292.94,15627416417,6742049546,0.4314,1030037955,9346971,0.009074,133171722,33042866,0.248122,1.009581
20260412_130540,10,2,32768,1,7334653.46,14063223031,6481993956,0.4609,985571302,8447066,0.008571,123074605,31188224,0.253409,1.006708
20260412_130544,10,3,32768,1,6932312.87,17035094167,7299963171,0.4285,1111718726,10294062,0.009260,149788797,37174428,0.248179,1.007513
20260412_130547,10,4,32768,1,7824429.75,15133715613,6899967442,0.4559,1042407011,9524311,0.009137,138872104,35407849,0.254967,1.006627
